yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
PAPD7	Q5XG87	PAPD7_HUMAN	reviewed	Terminal nucleotidyltransferase 4A (DNA polymerase sigma) (LAK-1) (Non-canonical poly(A) RNA polymerase PAPD7) (EC 2.7.7.19) (PAP-associated domain-containing protein 7) (TRAMP-like complex polyadenylate polymerase) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 5) (TUTase 5) (Topoisomerase-related function protein 4-1) (TRF4-1)	TENT4A PAPD7 POLS TRF4	11044;	Homo sapiens (Human)	772
CTNNAL1	Q9UBT7	CTNL1_HUMAN	reviewed	Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)	CTNNAL1	8727;	Homo sapiens (Human)	734
IKBKAP	O95163	ELP1_HUMAN	reviewed	Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150)	ELP1 IKAP IKBKAP	8518;	Homo sapiens (Human)	1332
PPIE	Q9UNP9	PPIE_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	PPIE CYP33	10450;	Homo sapiens (Human)	301
DNAJB2	P25686	DNJB2_HUMAN	reviewed	DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1)	DNAJB2 HSJ1 HSPF3	3300;	Homo sapiens (Human)	324
SNAP25	P60880	SNP25_HUMAN	reviewed	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	SNAP25 SNAP	6616;	Homo sapiens (Human)	206
BCL7B	Q9BQE9	BCL7B_HUMAN	reviewed	B-cell CLL/lymphoma 7 protein family member B (allergen Hom s 3)	BCL7B	9275;	Homo sapiens (Human)	202
GALE	Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	2582;	Homo sapiens (Human)	348
HMGCR	P04035	HMDH_HUMAN	reviewed	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	HMGCR	3156;	Homo sapiens (Human)	888
PRKCD	Q05655	KPCD_HUMAN	reviewed	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	5580;	Homo sapiens (Human)	676
VAPB	O95292	VAPB_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	9217;	Homo sapiens (Human)	243
MYLK	Q15746	MYLK_HUMAN	reviewed	Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]	MYLK MLCK MLCK1 MYLK1	4638;	Homo sapiens (Human)	1914
S100A13	Q99584	S10AD_HUMAN	reviewed	Protein S100-A13 (S100 calcium-binding protein A13)	S100A13	6284;	Homo sapiens (Human)	98
NRIP1	P48552	NRIP1_HUMAN	reviewed	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	NRIP1	8204;	Homo sapiens (Human)	1158
HTATSF1	O43719	HTSF1_HUMAN	reviewed	HIV Tat-specific factor 1 (Tat-SF1)	HTATSF1	27336;	Homo sapiens (Human)	755
ADAM10	O14672	ADA10_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	102;	Homo sapiens (Human)	748
EAPP	Q56P03	EAPP_HUMAN	reviewed	E2F-associated phosphoprotein (EAPP)	EAPP C14orf11 BM-036	55837;	Homo sapiens (Human)	285
SERPINE1	P05121	PAI1_HUMAN	reviewed	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	SERPINE1 PAI1 PLANH1	5054;	Homo sapiens (Human)	402
APPBP2	Q92624	APBP2_HUMAN	reviewed	Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2) (Protein interacting with APP tail 1)	APPBP2 KIAA0228 PAT1	10513;	Homo sapiens (Human)	585
TOPBP1	Q92547	TOPB1_HUMAN	reviewed	DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1)	TOPBP1 KIAA0259	11073;	Homo sapiens (Human)	1522
POLR2K	P53803	RPAB4_HUMAN	reviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)	POLR2K	5440;	Homo sapiens (Human)	58
ICAM1	P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	3383;	Homo sapiens (Human)	532
NRAS	P01111	RASN_HUMAN	reviewed	GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras)	NRAS HRAS1	4893;	Homo sapiens (Human)	189
LPGAT1	Q92604	LGAT1_HUMAN	reviewed	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (EC 2.3.1.-) (Acyl-CoA:monoacylglycerol acyltransferase LPGAT1) (EC 2.3.1.22)	LPGAT1 FAM34A KIAA0205	9926;	Homo sapiens (Human)	370
PSMB10	P40306	PSB10_HUMAN	reviewed	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	PSMB10 LMP10 MECL1	5699;	Homo sapiens (Human)	273
SDHB	P21912	SDHB_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	SDHB SDH SDH1	6390;	Homo sapiens (Human)	280
RASA1	P20936	RASA1_HUMAN	reviewed	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA	5921;	Homo sapiens (Human)	1047
GTF2A2	P52657	T2AG_HUMAN	reviewed	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma)	GTF2A2 TF2A2	2958;	Homo sapiens (Human)	109
NPC1	O15118	NPC1_HUMAN	reviewed	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	4864;	Homo sapiens (Human)	1278
GTF2E2	P29084	T2EB_HUMAN	reviewed	Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2)	GTF2E2 TF2E2	2961;	Homo sapiens (Human)	291
RNMT	O43148	MCES_HUMAN	reviewed	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)	RNMT KIAA0398	8731;	Homo sapiens (Human)	476
RBM15B	Q8NDT2	RB15B_HUMAN	reviewed	Putative RNA-binding protein 15B (One-twenty two protein 3) (HsOTT3) (HuOTT3) (RNA-binding motif protein 15B)	RBM15B OTT3	29890;	Homo sapiens (Human)	890
OXSR1	O95747	OXSR1_HUMAN	reviewed	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1 KIAA1101 OSR1	9943;	Homo sapiens (Human)	527
DUSP11	O75319	DUS11_HUMAN	reviewed	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)	DUSP11 PIR1	8446;	Homo sapiens (Human)	377
CCNB2	O95067	CCNB2_HUMAN	reviewed	G2/mitotic-specific cyclin-B2	CCNB2	9133;	Homo sapiens (Human)	398
HIST2H2BE	Q16778	H2B2E_HUMAN	reviewed	Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q)	H2BC21 H2BFQ HIST2H2BE	8349;	Homo sapiens (Human)	126
PTPN1	P18031	PTN1_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	5770;	Homo sapiens (Human)	435
TES	Q9UGI8	TES_HUMAN	reviewed	Testin (TESS)	TES	26136;	Homo sapiens (Human)	421
GFPT1	Q06210	GFPT1_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	2673;	Homo sapiens (Human)	699
LIG1	P18858	DNLI1_HUMAN	reviewed	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	LIG1	3978;	Homo sapiens (Human)	919
LIG1	Q96JA1	LRIG1_HUMAN	reviewed	Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1)	LRIG1 LIG1	26018;	Homo sapiens (Human)	1093
PKIG	Q9Y2B9	IPKG_HUMAN	reviewed	cAMP-dependent protein kinase inhibitor gamma (PKI-gamma)	PKIG	11142;	Homo sapiens (Human)	76
P4HA2	O15460	P4HA2_HUMAN	reviewed	Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)	P4HA2 UNQ290/PRO330	8974;	Homo sapiens (Human)	535
EBP	Q15125	EBP_HUMAN	reviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	10682;	Homo sapiens (Human)	230
PHKB	Q93100	KPBB_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	5257;	Homo sapiens (Human)	1093
PIK3R3	Q92569	P55G_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	8503;	Homo sapiens (Human)	461
WRB	O00258	GET1_HUMAN	reviewed	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	GET1 CHD5 WRB	7485;	Homo sapiens (Human)	174
GPC1	P35052	GPC1_HUMAN	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	GPC1	2817;	Homo sapiens (Human)	558
SYNE2	Q8WXH0	SYNE2_HUMAN	reviewed	Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)	SYNE2 KIAA1011 NUA	23224;	Homo sapiens (Human)	6885
CASP3	P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	836;	Homo sapiens (Human)	277
DNTTIP2	Q5QJE6	TDIF2_HUMAN	reviewed	Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2)	DNTTIP2 ERBP TDIF2	30836;	Homo sapiens (Human)	756
ZMYM2	Q9UBW7	ZMYM2_HUMAN	reviewed	Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198)	ZMYM2 FIM RAMP ZNF198	7750;	Homo sapiens (Human)	1377
OXCT1	P55809	SCOT1_HUMAN	reviewed	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)	OXCT1 OXCT SCOT	5019;	Homo sapiens (Human)	520
NNT	Q13423	NNTM_HUMAN	reviewed	NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)	NNT	23530;	Homo sapiens (Human)	1086
MAPKAPK3	Q16644	MAPK3_HUMAN	reviewed	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)	MAPKAPK3	7867;	Homo sapiens (Human)	382
INPP1	P49441	INPP_HUMAN	reviewed	Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57)	INPP1	3628;	Homo sapiens (Human)	399
SACM1L	Q9NTJ5	SAC1_HUMAN	reviewed	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	SACM1L KIAA0851 SAC1	22908;	Homo sapiens (Human)	587
PRKACA	P17252	KPCA_HUMAN	reviewed	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	PRKCA PKCA PRKACA	5578;	Homo sapiens (Human)	672
PRKACA	P17612	KAPCA_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	5566;	Homo sapiens (Human)	351
INTS3	Q68E01	INT3_HUMAN	reviewed	Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A)	INTS3 C1orf193 C1orf60	65123;	Homo sapiens (Human)	1043
STAMBP	O95630	STABP_HUMAN	reviewed	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	STAMBP AMSH	10617;	Homo sapiens (Human)	424
GAA	P10253	LYAG_HUMAN	reviewed	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]	GAA	2548;	Homo sapiens (Human)	952
TARBP1	Q13395	TARB1_HUMAN	reviewed	Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR RNA-binding protein 1) (TAR RNA-binding protein of 185 kDa) (TRP-185)	TARBP1 TRM3 TRP185	6894;	Homo sapiens (Human)	1621
SLC25A4	P12235	ADT1_HUMAN	reviewed	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	SLC25A4 AAC1 ANT1	291;	Homo sapiens (Human)	298
SLC37A4	O43826	G6PT1_HUMAN	reviewed	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	SLC37A4 G6PT G6PT1 PRO0685 TRG19	2542;	Homo sapiens (Human)	429
PCK2	Q16822	PCKGM_HUMAN	reviewed	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)	PCK2 PEPCK2	5106;	Homo sapiens (Human)	640
HPRT1	P00492	HPRT_HUMAN	reviewed	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	HPRT1 HPRT	3251;	Homo sapiens (Human)	218
FAH	P16930	FAAA_HUMAN	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	2184;	Homo sapiens (Human)	419
POP4	O95707	RPP29_HUMAN	reviewed	Ribonuclease P protein subunit p29 (hPOP4)	POP4 RPP29	10775;	Homo sapiens (Human)	220
POP4	P0DMW2	PYDC4_HUMAN	reviewed	NLR family pyrin domain-containing protein 2B (Pyrin domain-containing protein 2-like protein POP4) (Pyrin-only protein 4)	NLRP2B CLRX.1 NLRP2P NOD24 POP4	286430;	Homo sapiens (Human)	45
CDC20	Q12834	CDC20_HUMAN	reviewed	Cell division cycle protein 20 homolog (p55CDC)	CDC20	991;	Homo sapiens (Human)	499
CYTH1	Q15438	CYH1_HUMAN	reviewed	Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)	CYTH1 D17S811E PSCD1	9267;	Homo sapiens (Human)	398
DDIT4	Q9NX09	DDIT4_HUMAN	reviewed	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	54541;	Homo sapiens (Human)	232
MAP7	Q14244	MAP7_HUMAN	reviewed	Ensconsin (Epithelial microtubule-associated protein of 115 kDa) (E-MAP-115) (Microtubule-associated protein 7) (MAP-7)	MAP7	9053;	Homo sapiens (Human)	749
NIT1	Q86X76	NIT1_HUMAN	reviewed	Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)	NIT1	4817;	Homo sapiens (Human)	327
NUP88	Q99567	NUP88_HUMAN	reviewed	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)	NUP88	4927;	Homo sapiens (Human)	741
WFS1	O76024	WFS1_HUMAN	reviewed	Wolframin	WFS1	7466;	Homo sapiens (Human)	890
ADGRE5	P48960	AGRE5_HUMAN	reviewed	Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta]	ADGRE5 CD97	976;	Homo sapiens (Human)	835
MSH6	P52701	MSH6_HUMAN	reviewed	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	2956;	Homo sapiens (Human)	1360
FAM20B	O75063	XYLK_HUMAN	reviewed	Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)	FAM20B KIAA0475	9917;	Homo sapiens (Human)	409
PIN1	Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	5300;	Homo sapiens (Human)	163
ETFB	P38117	ETFB_HUMAN	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	ETFB FP585	2109;	Homo sapiens (Human)	255
FPGS	Q05932	FOLC_HUMAN	reviewed	Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)	FPGS	2356;	Homo sapiens (Human)	587
FHL2	Q14192	FHL2_HUMAN	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	FHL2 DRAL SLIM3	2274;	Homo sapiens (Human)	279
CRYZ	Q08257	QOR_HUMAN	reviewed	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)	CRYZ	1429;	Homo sapiens (Human)	329
UBE2C	O00762	UBE2C_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	11065;	Homo sapiens (Human)	179
RFX5	P48382	RFX5_HUMAN	reviewed	DNA-binding protein RFX5 (Regulatory factor X 5)	RFX5	5993;	Homo sapiens (Human)	616
ARNT2	Q9HBZ2	ARNT2_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2) (Class E basic helix-loop-helix protein 1) (bHLHe1)	ARNT2 BHLHE1 KIAA0307	9915;	Homo sapiens (Human)	717
PYGL	P06737	PYGL_HUMAN	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	PYGL	5836;	Homo sapiens (Human)	847
POLD4	Q9HCU8	DPOD4_HUMAN	reviewed	DNA polymerase delta subunit 4 (DNA polymerase delta subunit p12)	POLD4 POLDS	57804;	Homo sapiens (Human)	107
POLD4	Q9Y2S7	PDIP2_HUMAN	reviewed	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	POLDIP2 PDIP38 POLD4 HSPC017	26073;	Homo sapiens (Human)	368
LYPLA1	O75608	LYPA1_HUMAN	reviewed	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	LYPLA1 APT1 LPL1	10434;	Homo sapiens (Human)	230
ECD	O95905	ECD_HUMAN	reviewed	Protein ecdysoneless homolog (Human suppressor of GCR two) (hSGT1)	ECD	11319;	Homo sapiens (Human)	644
PTPRK	Q15262	PTPRK_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	PTPRK PTPK	5796;	Homo sapiens (Human)	1439
TIMELESS	Q9UNS1	TIM_HUMAN	reviewed	Protein timeless homolog (hTIM)	TIMELESS TIM TIM1 TIMELESS1	8914;	Homo sapiens (Human)	1208
STK10	O94804	STK10_HUMAN	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	6793;	Homo sapiens (Human)	968
TP53BP1	Q12888	TP53B_HUMAN	reviewed	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	7158;	Homo sapiens (Human)	1972
TCTA	P57738	TCTA_HUMAN	reviewed	T-cell leukemia translocation-altered gene protein (T-cell leukemia translocation-associated gene protein)	TCTA	6988;	Homo sapiens (Human)	103
PDHX	O00330	ODPX_HUMAN	reviewed	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	PDHX PDX1	8050;	Homo sapiens (Human)	501
KLHL21	Q9UJP4	KLH21_HUMAN	reviewed	Kelch-like protein 21	KLHL21 KIAA0469	9903;	Homo sapiens (Human)	597
COG2	Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	22796;	Homo sapiens (Human)	738
DNM1L	O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	10059;	Homo sapiens (Human)	736
PTK2B	Q14289	FAK2_HUMAN	reviewed	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	2185;	Homo sapiens (Human)	1009
PAN2	Q504Q3	PAN2_HUMAN	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 KIAA0710 USP52	9924;	Homo sapiens (Human)	1202
PAN2	Q96MN2	NALP4_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 4 (Cancer/testis antigen 58) (CT58) (PAAD and NACHT-containing protein 2) (PAN2) (PYRIN and NACHT-containing protein 2) (PYRIN-containing APAF1-like protein 4) (PYPAF4) (Ribonuclease inhibitor 2)	NLRP4 NALP4 PAN2 PYPAF4 RNH2	147945;	Homo sapiens (Human)	994
PAN2	Q9HBH5	RDH14_HUMAN	reviewed	Retinol dehydrogenase 14 (EC 1.1.1.300) (Alcohol dehydrogenase PAN2) (Short chain dehydrogenase/reductase family 7C member 4)	RDH14 PAN2 SDR7C4 UNQ529/PRO1072	57665;	Homo sapiens (Human)	336
CCDC86	Q9H6F5	CCD86_HUMAN	reviewed	Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)	CCDC86 CYCLON	79080;	Homo sapiens (Human)	360
TP53BP2	Q13625	ASPP2_HUMAN	reviewed	Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	TP53BP2 ASPP2 BBP	7159;	Homo sapiens (Human)	1128
SLC11A2	P49281	NRAM2_HUMAN	reviewed	Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)	SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20	4891;	Homo sapiens (Human)	568
SPTLC2	O15270	SPTC2_HUMAN	reviewed	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	SPTLC2 KIAA0526 LCB2	9517;	Homo sapiens (Human)	562
